ID,REGION,SITE,SITE_CODE,BLOCK,PROV,TREE,SEROT,COMBIN2,COMBIN3,com2sub,com3sub
22382,9,153,TZEN,2,56,8,1,TZEN:56,TZEN:56:2,4,2
17356,8,149,WHIT,1,20,4,0,WHIT:20,WHIT:20:1,4,2
17360,8,149,WHIT,1,20,8,1,WHIT:20,WHIT:20:1,4,2
17894,8,149,WHIT,2,20,2,0,WHIT:20,WHIT:20:2,4,2
17899,8,149,WHIT,2,20,7,0,WHIT:20,WHIT:20:2,4,2
17491,8,149,WHIT,1,46,4,1,WHIT:46,WHIT:46:1,4,2
17492,8,149,WHIT,1,46,5,1,WHIT:46,WHIT:46:1,4,2
18033,8,149,WHIT,2,46,6,1,WHIT:46,WHIT:46:2,4,2
18035,8,149,WHIT,2,46,8,1,WHIT:46,WHIT:46:2,4,2
14286,8,146,BAKR,1,55,3,0,BAKR:55,BAKR:55:1,5,2
14290,8,146,BAKR,1,55,7,0,BAKR:55,BAKR:55:1,5,2
14827,8,146,BAKR,2,55,4,1,BAKR:55,BAKR:55:2,5,3
14828,8,146,BAKR,2,55,5,1,BAKR:55,BAKR:55:2,5,3
14832,8,146,BAKR,2,55,9,1,BAKR:55,BAKR:55:2,5,3
14332,8,146,BAKR,1,61,4,1,BAKR:61,BAKR:61:1,5,2
14337,8,146,BAKR,1,61,9,1,BAKR:61,BAKR:61:1,5,2
14871,8,146,BAKR,2,61,3,1,BAKR:61,BAKR:61:2,5,3
14873,8,146,BAKR,2,61,5,0,BAKR:61,BAKR:61:2,5,3
14876,8,146,BAKR,2,61,8,0,BAKR:61,BAKR:61:2,5,3
23105,9,154,BART,1,103,2,1,BART:103,BART:103:1,5,2
23110,9,154,BART,1,103,7,1,BART:103,BART:103:1,5,2
23645,9,154,BART,2,103,2,1,BART:103,BART:103:2,5,3
23648,9,154,BART,2,103,5,1,BART:103,BART:103:2,5,3
23649,9,154,BART,2,103,6,1,BART:103,BART:103:2,5,3
22713,9,154,BART,1,13,6,1,BART:13,BART:13:1,5,2
22715,9,154,BART,1,13,8,1,BART:13,BART:13:1,5,2
23249,9,154,BART,2,13,2,1,BART:13,BART:13:2,5,3
23251,9,154,BART,2,13,4,1,BART:13,BART:13:2,5,3
23255,9,154,BART,2,13,8,1,BART:13,BART:13:2,5,3
22981,9,154,BART,1,67,4,1,BART:67,BART:67:1,5,3
22982,9,154,BART,1,67,5,1,BART:67,BART:67:1,5,3
22983,9,154,BART,1,67,6,1,BART:67,BART:67:1,5,3
23520,9,154,BART,2,67,3,1,BART:67,BART:67:2,5,2
23525,9,154,BART,2,67,8,1,BART:67,BART:67:2,5,2
23007,9,154,BART,1,73,3,1,BART:73,BART:73:1,5,3
23009,9,154,BART,1,73,5,1,BART:73,BART:73:1,5,3
23012,9,154,BART,1,73,8,1,BART:73,BART:73:1,5,3
23546,9,154,BART,2,73,2,1,BART:73,BART:73:2,5,2
23550,9,154,BART,2,73,6,1,BART:73,BART:73:2,5,2
363,2,116,BISN,1,104,3,0,BISN:104,BISN:104:1,5,3
366,2,116,BISN,1,104,6,0,BISN:104,BISN:104:1,5,3
367,2,116,BISN,1,104,7,0,BISN:104,BISN:104:1,5,3
905,2,116,BISN,2,104,5,1,BISN:104,BISN:104:2,5,2
909,2,116,BISN,2,104,9,0,BISN:104,BISN:104:2,5,2
488,2,116,BISN,1,147,2,1,BISN:147,BISN:147:1,5,2
490,2,116,BISN,1,147,4,1,BISN:147,BISN:147:1,5,2
1031,2,116,BISN,2,147,5,1,BISN:147,BISN:147:2,5,3
1033,2,116,BISN,2,147,7,1,BISN:147,BISN:147:2,5,3
1034,2,116,BISN,2,147,8,1,BISN:147,BISN:147:2,5,3
166,2,116,BISN,1,46,4,0,BISN:46,BISN:46:1,5,2
168,2,116,BISN,1,46,6,1,BISN:46,BISN:46:1,5,2
706,2,116,BISN,2,46,4,1,BISN:46,BISN:46:2,5,3
708,2,116,BISN,2,46,6,0,BISN:46,BISN:46:2,5,3
711,2,116,BISN,2,46,9,0,BISN:46,BISN:46:2,5,3
24206,10,155,BLAC,1,105,5,0,BLAC:105,BLAC:105:1,5,2
24209,10,155,BLAC,1,105,8,1,BLAC:105,BLAC:105:1,5,2
24744,10,155,BLAC,2,105,3,1,BLAC:105,BLAC:105:2,5,3
24745,10,155,BLAC,2,105,4,1,BLAC:105,BLAC:105:2,5,3
24749,10,155,BLAC,2,105,8,1,BLAC:105,BLAC:105:2,5,3
24068,10,155,BLAC,1,64,2,1,BLAC:64,BLAC:64:1,5,2
24070,10,155,BLAC,1,64,4,1,BLAC:64,BLAC:64:1,5,2
24608,10,155,BLAC,2,64,2,1,BLAC:64,BLAC:64:2,5,3
24611,10,155,BLAC,2,64,5,1,BLAC:64,BLAC:64:2,5,3
24612,10,155,BLAC,2,64,6,1,BLAC:64,BLAC:64:2,5,3
25260,10,156,CARP,1,102,6,1,CARP:102,CARP:102:1,5,2
25263,10,156,CARP,1,102,9,1,CARP:102,CARP:102:1,5,2
25795,10,156,CARP,2,102,1,1,CARP:102,CARP:102:2,5,3
25799,10,156,CARP,2,102,5,1,CARP:102,CARP:102:2,5,3
25800,10,156,CARP,2,102,6,1,CARP:102,CARP:102:2,5,3
25273,10,156,CARP,1,104,1,1,CARP:104,CARP:104:1,5,3
25277,10,156,CARP,1,104,5,1,CARP:104,CARP:104:1,5,3
25278,10,156,CARP,1,104,6,1,CARP:104,CARP:104:1,5,3
25816,10,156,CARP,2,104,4,1,CARP:104,CARP:104:2,5,2
25817,10,156,CARP,2,104,5,1,CARP:104,CARP:104:2,5,2
24854,10,156,CARP,1,13,5,1,CARP:13,CARP:13:1,5,2
24858,10,156,CARP,1,13,9,1,CARP:13,CARP:13:1,5,2
25396,10,156,CARP,2,13,7,1,CARP:13,CARP:13:2,5,3
25397,10,156,CARP,2,13,8,1,CARP:13,CARP:13:2,5,3
25398,10,156,CARP,2,13,9,1,CARP:13,CARP:13:2,5,3
25349,10,156,CARP,1,153,5,1,CARP:153,CARP:153:1,5,2
25351,10,156,CARP,1,153,7,1,CARP:153,CARP:153:1,5,2
25886,10,156,CARP,2,153,2,1,CARP:153,CARP:153:2,5,3
25892,10,156,CARP,2,153,8,1,CARP:153,CARP:153:2,5,3
25893,10,156,CARP,2,153,9,1,CARP:153,CARP:153:2,5,3
24873,10,156,CARP,1,16,6,1,CARP:16,CARP:16:1,5,2
24875,10,156,CARP,1,16,8,1,CARP:16,CARP:16:1,5,2
25410,10,156,CARP,2,16,3,1,CARP:16,CARP:16:2,5,3
25411,10,156,CARP,2,16,4,1,CARP:16,CARP:16:2,5,3
25415,10,156,CARP,2,16,8,1,CARP:16,CARP:16:2,5,3
1162,3,120,CHUW,1,26,1,1,CHUW:26,CHUW:26:1,5,3
1163,3,120,CHUW,1,26,2,1,CHUW:26,CHUW:26:1,5,3
1167,3,120,CHUW,1,26,6,1,CHUW:26,CHUW:26:1,5,3
1704,3,120,CHUW,2,26,3,0,CHUW:26,CHUW:26:2,5,2
1706,3,120,CHUW,2,26,5,1,CHUW:26,CHUW:26:2,5,2
1171,3,120,CHUW,1,28,1,1,CHUW:28,CHUW:28:1,5,2
1179,3,120,CHUW,1,28,9,1,CHUW:28,CHUW:28:1,5,2
1712,3,120,CHUW,2,28,2,0,CHUW:28,CHUW:28:2,5,3
1717,3,120,CHUW,2,28,7,0,CHUW:28,CHUW:28:2,5,3
1719,3,120,CHUW,2,28,9,1,CHUW:28,CHUW:28:2,5,3
2632,3,121,COMM,1,146,4,1,COMM:146,COMM:146:1,5,3
2634,3,121,COMM,1,146,6,1,COMM:146,COMM:146:1,5,3
2637,3,121,COMM,1,146,9,1,COMM:146,COMM:146:1,5,3
3171,3,121,COMM,2,146,3,1,COMM:146,COMM:146:2,5,2
3174,3,121,COMM,2,146,6,1,COMM:146,COMM:146:2,5,2
